_id,Year_Month,Card_type,Travel_Mode,Trip
466,Jun-2017,Sgl Trip Rail Child/Youth,Train,60524
467,Jul-2017,Adult,Bus,13625495
468,Jul-2017,Adult Single Bus Trip 1,Bus,159698
469,Jul-2017,Adult Single Bus Trip 2,Bus,96674
470,Jul-2017,Adult Single Bus Trip 3,Bus,36141
471,Jul-2017,Child/Youth,Bus,1386168
472,Jul-2017,Child/Youth Single Bus Trip 1,Bus,55170
473,Jul-2017,Child/Youth Single Bus Trip 2,Bus,42041
474,Jul-2017,Child/Youth Single Bus Trip 3,Bus,12555
475,Jul-2017,Concession,Bus,1361714
476,Jul-2017,Employee,Bus,71153
477,Jul-2017,Free Travel,Bus,36248
478,Jul-2017,School Student,Bus,1298172
479,Jul-2017,Senior/Pensioner,Bus,4020743
480,Jul-2017,Adult,Ferry,858171
481,Jul-2017,CTP,Ferry,2138
482,Jul-2017,Child/Youth,Ferry,157889
483,Jul-2017,Concession,Ferry,26169
484,Jul-2017,Employee,Ferry,4730
485,Jul-2017,Free Travel,Ferry,2328
486,Jul-2017,School Student,Ferry,1043
487,Jul-2017,Senior/Pensioner,Ferry,180265
488,Jul-2017,Sgl Trip Ferry Adult,Ferry,55823
489,Jul-2017,Sgl Trip Ferry Child/Youth,Ferry,20097
490,Jul-2017,Adult,Light Rail,607262
491,Jul-2017,Child/Youth,Light Rail,51615
492,Jul-2017,Concession,Light Rail,30979
493,Jul-2017,Employee,Light Rail,1
494,Jul-2017,Free Travel,Light Rail,665
495,Jul-2017,School Student,Light Rail,2976
496,Jul-2017,Senior/Pensioner,Light Rail,135655
497,Jul-2017,Sgl Trip LR Adult,Light Rail,4507
498,Jul-2017,Sgl Trip LR Child/Youth,Light Rail,1486
499,Jul-2017,Adult,Train,23827242
500,Jul-2017,Child/Youth,Train,1407616
501,Jul-2017,Concession,Train,1719629
502,Jul-2017,Employee,Train,294034
503,Jul-2017,Free Travel,Train,32228
504,Jul-2017,School Student,Train,562500
505,Jul-2017,Senior/Pensioner,Train,2804836
506,Jul-2017,Sgl Trip Rail Adult,Train,330262
507,Jul-2017,Sgl Trip Rail Child/Youth,Train,92187
508,Aug-2017,Adult,Bus,14614966
509,Aug-2017,Adult Single Bus Trip 1,Bus,152050
510,Aug-2017,Adult Single Bus Trip 2,Bus,88604
511,Aug-2017,Adult Single Bus Trip 3,Bus,33402
512,Aug-2017,Child/Youth,Bus,1129569
513,Aug-2017,Child/Youth Single Bus Trip 1,Bus,37346
514,Aug-2017,Child/Youth Single Bus Trip 2,Bus,24122
515,Aug-2017,Child/Youth Single Bus Trip 3,Bus,6683
516,Aug-2017,Concession,Bus,2287083
517,Aug-2017,Day Pass Child/Youth w/o SAF,Bus,7
518,Aug-2017,Day Pass without SAF,Bus,15
519,Aug-2017,Employee,Bus,75220
520,Aug-2017,Free Travel,Bus,39408
521,Aug-2017,School Student,Bus,2871680
522,Aug-2017,Senior/Pensioner,Bus,4196065
523,Aug-2017,Adult,Ferry,759500
524,Aug-2017,CTP,Ferry,1976
525,Aug-2017,Child/Youth,Ferry,79252
526,Aug-2017,Concession,Ferry,27276
527,Aug-2017,Day Pass Child/Youth w/o SAF,Ferry,3
528,Aug-2017,Day Pass without SAF,Ferry,5
529,Aug-2017,Employee,Ferry,4423
530,Aug-2017,Free Travel,Ferry,2045
531,Aug-2017,School Student,Ferry,2206
532,Aug-2017,Senior/Pensioner,Ferry,164130
533,Aug-2017,Sgl Trip Ferry Adult,Ferry,47631
534,Aug-2017,Sgl Trip Ferry Child/Youth,Ferry,11008
535,Aug-2017,Adult,Light Rail,575024
536,Aug-2017,Child/Youth,Light Rail,33221
537,Aug-2017,Concession,Light Rail,33944
538,Aug-2017,Day Pass Child/Youth w/o SAF,Light Rail,3
539,Aug-2017,Day Pass without SAF,Light Rail,2
540,Aug-2017,Free Travel,Light Rail,840
541,Aug-2017,School Student,Light Rail,7008
542,Aug-2017,Senior/Pensioner,Light Rail,125345
543,Aug-2017,Sgl Trip LR Adult,Light Rail,4398
544,Aug-2017,Sgl Trip LR Child/Youth,Light Rail,905
545,Aug-2017,Adult,Train,25596844
546,Aug-2017,Child/Youth,Train,983919
547,Aug-2017,Concession,Train,2822581
548,Aug-2017,Day Pass Child/Youth w/o SAF,Train,9
